,Change or add categories by updating the Expenses and Income tables in the Summary sheet.,,,,,,,,
,Expenses,,,,,Income,,,
,,,,,,,,,
,Date,Amount,Description,Category,,Date,Amount,Description,Category
,10/3/2025,$5.02,Floss,Hygiene,,10/3/2025,$705.24,Pay 9/12-9/26,Paycheck
,10/2/2025,$467.99,Monticello rent,Housing,,,,,
,10/3/2025,$14.49,Shopping at Walmart ,Groceries / food,,10/17/2025,$665.09,Pay 9/27 - 10/10,Paycheck
,10/3/2025,$70.52,,Tithing,,10/31/2025,$711.84,Pay 10/11 -10/25,Paycheck
,10/4/2025,$12.69,Café rio ,Eating Out,,10/30/2025,$50.00,Bday from Gpa ,Other
,10/5/2025,$10.00,Laundry,Housing,,,,,
,10/7/2025,$11.82,Icecrram w Rachel ,Dates,,,,,
,10/9/25,$23.76,Walmart shopping,Groceries / food,,,,,
,10/9/2025,$4.29,Hair gel ,Hygiene,,,,,
,10/10/2025,$40.00,Challenge exam fee,Misc.,,,,,
,10/12/2025,$75.00,fast offering,Fast Offering,,,,,
,10/14/2025,$25.65,new backpack,Misc.,,,,,
,10/16/2025,$8.65,Power steering fluid ,Transportation,,,,,
,10/17/2025,$200.00,Savings,Savings,,,,,
,10/17/2025,$200.00,Long-term investments,Other Investments,,,,,
,10/17/2025,$66.51,tithing,Tithing,,,,,
,10/17/2025,$54.32,Same club,Groceries / food,,,,,
,10/17/2025,$9.65,Turkey baster and Tupperware,Misc.,,,,,
,10/21/2025,$19.32,More power steering fluid,Transportation,,,,,
,10/22/2025,$10.00,Laundry ,Housing,,,,,
,10/23/2025,$24.51,Walmart groceries ,Groceries / food,,,,,
,10/23/2025,$10.00,Toothpaste and body wash,Hygiene,,,,,
,10/23/2025,$45.55,Ugly Christmas sweater for dad,Misc.,,,,,
,10/24/2025,$100.00,Long-term investments,Other Investments,,,,,
,10/27/2025,$4.00,BYU vending machine,Eating Out,,,,,
,10/28/25,$6.01,Gas at 7/11,Transportation,,,,,
,10/28/2025,$44.94,Gas at Sam's Club,Transportation,,,,,
,10/28/2025,$15.46,Walmart,Groceries / food,,,,,
,10/28/2025,$34.54,Compras at Sam's Club,Groceries / food,,,,,
,10/29/2025,$9.64,Phone plan ,Misc.,,,,,
,10/30/2025,$350.00,Insurance,Insurance,,,,,
,10/31/2025,$10.00,laundry,Housing,,,,,
,10/31/2025,$71.18,tITHING,Tithing,,,,,
,10/31/2025,$100.00,savings,Savings,,,,,
,10/31/2025,$200.00,roth ira,Roth IRA,,,,,
,10/31/2025,$100.00,other investments,Other Investments,,,,,
,10/31/2025,$1.50,Dole whip,Eating Out,,,,,